Molecule name,Salt_Solvent_ID
Molecule_1,0
Molecule_2,0
Molecule_3,0
Molecule_4,350
Molecule_5,0
Molecule_6,0
Molecule_7,0
Molecule_8,0
Molecule_9,0
Molecule_10,0
Molecule_11,0
Molecule_12,0
Molecule_13,0
Molecule_14,0
Molecule_15,0
Molecule_16,0
Molecule_17,0
Molecule_18,0
Molecule_19,0
Molecule_22,2079
Molecule_23,170
Molecule_24,0
Molecule_25,120
Molecule_26,0
Molecule_27,0
Molecule_28,125
Molecule_29,170
Molecule_30,0
Molecule_31,0
Molecule_32,0
Molecule_33,2819
Molecule_34,0
Molecule_35,0
Molecule_36,0
Molecule_37,0
Molecule_38,0
Molecule_39,110
Molecule_40,0
Molecule_41,0
Molecule_42,0
Molecule_43,1768
Molecule_44,0
Molecule_45,200
Molecule_46,0
Molecule_47,0
Molecule_48,0
Molecule_49,0
Molecule_50,0
Molecule_51,0
Molecule_52,0
Molecule_54,0
Molecule_55,0
Molecule_56,0
Molecule_57,3126
Molecule_58,0
Molecule_59,0
Molecule_60,0
Molecule_61,0
Molecule_62,0
Molecule_63,0
Molecule_64,0
Molecule_65,0
Molecule_66,0
Molecule_67,0
Molecule_68,0
Molecule_69,0
Molecule_70,0
Molecule_71,0
Molecule_72,0
Molecule_73,0
Molecule_74,0
Molecule_76,0
Molecule_77,0
Molecule_79,110
Molecule_81,0
Molecule_82,110
Molecule_83,0
Molecule_84,0
Molecule_85,0
Molecule_86,0
Molecule_87,0
Molecule_88,0
Molecule_89,0
Molecule_90,0
Molecule_91,0
Molecule_92,0
Molecule_93,0
Molecule_94,0
Molecule_95,0
Molecule_96,0
Molecule_97,0
Molecule_98,0
Molecule_99,0
Molecule_100,0
Molecule_101,0
Molecule_102,0
Molecule_103,0
Molecule_104,0
Molecule_105,0
Molecule_106,0
Molecule_107,0
Molecule_108,0
Molecule_109,0
Molecule_110,0
Molecule_111,110
Molecule_112,0
Molecule_113,0
Molecule_114,0
Molecule_115,0
Molecule_116,110
Molecule_117,4018
Molecule_118,0
Molecule_119,0
Molecule_120,0
Molecule_121,0
Molecule_122,0
Molecule_123,0
Molecule_124,0
Molecule_125,0
Molecule_126,0
Molecule_127,0
Molecule_128,0
Molecule_129,0
Molecule_130,0
Molecule_131,0
Molecule_132,0
Molecule_133,0
Molecule_134,110
Molecule_136,0
Molecule_137,0
Molecule_138,0
Molecule_139,0
Molecule_140,0
Molecule_141,0
Molecule_142,1768
Molecule_143,0
Molecule_144,170
Molecule_145,0
Molecule_146,0
Molecule_147,0
Molecule_148,0
Molecule_149,70
Molecule_151,170
Molecule_152,0
Molecule_153,170
Molecule_154,0
Molecule_155,0
Molecule_156,0
Molecule_157,0
Molecule_159,0
Molecule_160,0
Molecule_161,0
Molecule_162,0
Molecule_164,350
Molecule_165,95
Molecule_167,0
Molecule_168,0
Molecule_169,0
Molecule_170,0
Molecule_171,0
Molecule_172,0
Molecule_173,0
Molecule_174,0
Molecule_176,0
Molecule_177,0
Molecule_178,0
Molecule_179,0
Molecule_180,0
Molecule_181,0
Molecule_182,0
Molecule_184,0
Molecule_185,0
Molecule_186,0
Molecule_187,0
Molecule_188,0
Molecule_189,170
Molecule_190,0
Molecule_191,190
Molecule_192,0
Molecule_193,0
Molecule_194,0
Molecule_195,0
Molecule_196,0
Molecule_197,0
Molecule_198,0
Molecule_199,0
Molecule_200,0
Molecule_201,0
Molecule_202,110
Molecule_203,170
Molecule_204,0
Molecule_205,0
Molecule_206,0
Molecule_207,0
Molecule_208,0
Molecule_209,0
Molecule_210,0
Molecule_211,0
Molecule_212,0
Molecule_213,190
Molecule_214,0
Molecule_215,0
