Superclass,my_class,total_count,measured_count,potent_frac,CASRN,PREFERRED_NAME,IUPAC_NAME,log POD (95% CI),uhat,dJ,training log POD,all reported log POD
Organoheterocyclic compounds,Benzo-p-dioxins,96,7,0.6041666666666666,['1746-01-6'],"['2,3,7,8-Tetrachlorodibenzo-p-dioxin']","['2,3,7,8-Tetrachlorooxanthrene']","-5.06 [-5.50, 1.44]",6.940210406,0.35,-5.52,-5.52
Organoheterocyclic compounds,Benzo-p-dioxins,96,7,0.6041666666666666,['50585-46-1'],"['1,3,7,8-Tetrachlorooxanthrene']","['1,3,7,8-Tetrachlorooxanthrene']","-4.76 [-5.50, 1.52]",7.021034785,0.47,,
Organoheterocyclic compounds,Benzo-p-dioxins,96,7,0.6041666666666666,['34816-53-0'],"['1,2,7,8-Tetrachlorodibenzo-p-dioxin']","['1,2,7,8-Tetrachlorooxanthrene']","-4.76 [-5.50, 1.51]",7.014880626,0.44,,
Organoheterocyclic compounds,Benzo-p-dioxins,96,7,0.6041666666666666,['40321-76-4'],"['1,2,3,7,8-Pentachlorodibenzo-p-dioxin']","['1,2,3,7,8-Pentachlorooxanthrene']","-4.67 [-5.47, 0.25]",5.720216476,0.18,-5.12,-5.12
Organoheterocyclic compounds,Benzo-p-dioxins,96,7,0.6041666666666666,['40581-94-0'],"['1,4,7,8-Tetrachlorodibenzo-p-dioxin']","['1,4,7,8-Tetrachlorooxanthrene']","-4.58 [-5.50, 1.52]",7.022110376,0.45,,
Organoheterocyclic compounds,Benzo-p-dioxins,96,7,0.6041666666666666,['53555-02-5'],"['1,2,3,8-Tetrachlorooxanthrene']","['1,2,3,8-Tetrachlorooxanthrene']","-4.56 [-5.49, 1.51]",6.999616286,0.38,,
Organoheterocyclic compounds,Benzo-p-dioxins,96,7,0.6041666666666666,['67028-18-6'],"['1,2,3,7-Tetrachlorodibenzo-p-dioxin']","['1,2,3,7-Tetrachlorooxanthrene']","-4.56 [-5.49, 1.51]",6.999616286,0.38,,
Organoheterocyclic compounds,Benzo-p-dioxins,96,7,0.6041666666666666,['62470-53-5'],"['1,3,7,9-Tetrachlorodibenzo-p-dioxin']","['1,3,7,9-Tetrachlorooxanthrene']","-4.56 [-5.50, 1.58]",7.076493708,0.55,,
Organoheterocyclic compounds,Benzo-p-dioxins,96,7,0.6041666666666666,['33423-92-6'],"['1,3,6,8-tetrachlorodibenzo-p-dioxin']","['1,3,6,8-Tetrachlorooxanthrene']","-4.55 [-5.50, 1.58]",7.076352088,0.55,,
Organoheterocyclic compounds,Benzo-p-dioxins,96,7,0.6041666666666666,['58802-08-7'],"['1,2,4,7,8-Pentachlorodibenzo-p-dioxin']","['1,2,4,7,8-Pentachlorooxanthrene']","-4.52 [-5.47, 0.63]",6.094254104,0.41,,
