Superclass,my_class,total_count,measured_count,potent_frac,CASRN,PREFERRED_NAME,IUPAC_NAME,log POD (95% CI),uhat,dJ,training log POD,all reported log POD
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['333-41-5'],['Diazinon'],"['O,O-Diethyl O-[6-methyl-2-(propan-2-yl)pyrimidin-4-yl] phosphorothioate']","-0.87 [-1.74, 1.57]",3.307091649242161,0.48,-0.94,-0.94
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['100155-47-3'],['Diazinon-d10'],"['O,O-Bis[(~2~H_5_)ethyl] O-[6-methyl-2-(propan-2-yl)pyrimidin-4-yl] phosphorothioate']","-0.87 [-1.74, 1.57]",3.307091649242161,0.48,-0.94,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['96182-53-5'],['Tebupirimfos'],['O-(2-tert-Butylpyrimidin-5-yl) O-ethyl O-propan-2-yl phosphorothioate'],"-0.87 [-1.77, 1.72]",3.4972035247762188,0.54,-1.16,-1.16
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['90338-20-8'],['Butathiofos'],"['O-(2-tert-Butylpyrimidin-5-yl) O,O-diethyl phosphorothioate']","-0.80 [-1.77, 1.66]",3.430645915304589,0.56,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['298-03-3'],['Demeton-O'],"['O,O-Diethyl O-[2-(ethylsulfanyl)ethyl] phosphorothioate']","-0.51 [-1.57, 1.89]",3.46217809008176,0.57,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['115-90-2'],['Fensulfothion'],"['O,O-Diethyl O-[4-(methanesulfinyl)phenyl] phosphorothioate']","-0.46 [-1.83, 1.92]",3.7522794850147374,0.64,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['297-97-2'],['Thionazin'],"['O,O-Diethyl O-pyrazin-2-yl phosphorothioate']","-0.46 [-1.57, 1.78]",3.3588880411024338,0.64,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['54593-83-8'],['Chlorethoxyfos'],"['O,O-Diethyl O-(1,2,2,2-tetrachloroethyl) phosphorothioate']","-0.45 [-1.44, 1.79]",3.227806691725276,0.55,-0.87,-0.87
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['3070-15-3'],"['Phosphorothioic acid, O,O-diethyl O-[4-(methylthio)phenyl] ester']","['O,O-Diethyl O-[4-(methylsulfanyl)phenyl] phosphorothioate']","-0.45 [-1.68, 1.78]",3.4551368667704607,0.62,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['3689-24-5'],['Sulfotepp'],"['O,O,O,O-Tetraethyl dithiodiphosphate']","-0.44 [-1.42, 2.15]",3.5682540768012463,0.59,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['97-17-6'],['Dichlofenthion'],"['O-(2,4-Dichlorophenyl) O,O-diethyl phosphorothioate']","-0.42 [-1.82, 1.75]",3.5695272238749944,0.58,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['128606-48-4'],['Methyl 3-[(diethoxyphosphorothioyl)oxy]but-2-enoate'],['Methyl 3-[(diethoxyphosphorothioyl)oxy]but-2-enoate'],"-0.41 [-1.63, 1.87]",3.500489698504075,0.62,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['108-35-0'],['Pyrazothion'],"['O,O-Diethyl O-(5-methyl-1H-pyrazol-3-yl) phosphorothioate']","-0.41 [-1.67, 1.70]",3.3709321201624527,0.6,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['5598-13-0'],['Chlorpyrifos-methyl'],"['O,O-Dimethyl O-(3,5,6-trichloropyridin-2-yl) phosphorothioate']","-0.41 [-1.45, 1.48]",2.929962023644653,0.45,-0.55,-0.55
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['21409-78-9'],"['Phosphorothioic acid, O-(1,2-dihydro-1,6-dimethyl-2-oxo-4-pyridinyl) O,O-diethyl ester']","['O-(1,6-Dimethyl-2-oxo-1,2-dihydropyridin-4-yl) O,O-diethyl phosphorothioate']","-0.40 [-1.82, 1.64]",3.455704711955041,0.64,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['5221-49-8'],['Pyrimitate'],"['O-[2-(Dimethylamino)-6-methylpyrimidin-4-yl] O,O-diethyl phosphorothioate']","-0.39 [-1.57, 1.48]",3.0562831945425337,0.54,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['1716-09-2'],['Fenthion-ethyl'],"['O,O-Diethyl O-[3-methyl-4-(methylsulfanyl)phenyl] phosphorothioate']","-0.39 [-1.80, 1.90]",3.699089383261224,0.49,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['36145-08-1'],['Chlorprazophos'],"['O-(3-Chloro-7-methylpyrazolo[1,5-a]pyrimidin-2-yl) O,O-diethyl phosphorothioate']","-0.38 [-1.92, 1.83]",3.749961444186293,0.66,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['5286-73-7'],"['O-[2-(Ethanesulfinyl)ethyl] O,O-diethyl phosphorothioate']","['O-[2-(Ethanesulfinyl)ethyl] O,O-diethyl phosphorothioate']","-0.38 [-1.56, 2.03]",3.5930750616692397,0.66,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['18854-01-8'],['Isoxathion'],"['O,O-Diethyl O-(5-phenyl-1,2-oxazol-3-yl) phosphorothioate']","-0.37 [-2.16, 1.84]",4.008409371827658,0.66,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['285138-81-0'],"['O,O-Bis[(~2~H_5_)ethyl] O-(3,5,6-trichloropyridin-2-yl) phosphorothioate']","['O,O-Bis[(~2~H_5_)ethyl] O-(3,5,6-trichloropyridin-2-yl) phosphorothioate']","-0.37 [-1.40, 1.31]",2.7073785280192624,0.43,-0.33,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['2921-88-2'],['Chlorpyrifos'],"['O,O-Diethyl O-(3,5,6-trichloropyridin-2-yl) phosphorothioate']","-0.37 [-1.40, 1.31]",2.7073785280192624,0.43,-0.33,-0.33
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['56-38-2'],['Parathion'],"['O,O-Diethyl O-(4-nitrophenyl) phosphorothioate']","-0.37 [-1.76, 1.88]",3.6462771461389054,0.54,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['114012-04-3'],"['O,O-DIME O-(2-CN-4-CL)PH PHOSPHORTHIOATE']","['O-(2-Chloro-6-cyanophenyl) O,O-dimethyl phosphorothioate']","-0.37 [-1.74, 1.84]",3.5790404927539274,0.66,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['21923-23-9'],['Chlorthiophos I'],"['O-[2,5-Dichloro-4-(methylsulfanyl)phenyl] O,O-diethyl phosphorothioate']","-0.36 [-1.72, 1.85]",3.564883953634689,0.63,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['299-84-3'],['Fenchlorphos'],"['O,O-Dimethyl O-(2,4,5-trichlorophenyl) phosphorothioate']","-0.35 [-1.53, 1.92]",3.449795287581789,0.6,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['2633-54-7'],['Trichlormetaphos-3'],"['O-Ethyl O-methyl O-(2,4,5-trichlorophenyl) phosphorothioate']","-0.35 [-1.58, 1.82]",3.403733485755359,0.6,,
Organic acids and derivatives,Thiophosphoric acid esters,130,10,0.5538461538461539,['22787-58-2'],"['O,O-Diethyl O-(1-ethyl-6-methyl-2-oxo-1,2-dihydropyridin-4-yl) phosphorothioate']","['O,O-Diethyl O-(1-ethyl-6-methyl-2-oxo-1,2-dihydropyridin-4-yl) phosphorothioate']","-0.34 [-1.78, 1.73]",3.510548749142571,0.65,,
